sample_no,pid,ppid,cpu_children_sys,cpu_children_user,cpu_user,cpu_sys,cpu_percent,cpu_num,label
20987148,1319,1212,0,0,0.19,0.05,2.4,1,0
20987164,1320,1212,0,0,0.29,0.07,3.6,1,0
20987165,1321,1212,0,0,0.31,0.12,4.3,1,0
20987166,1326,1212,0,0,0.04,0.02,0,1,0
20987167,1327,1212,0,0,0,0,0,1,0
20987223,1183,1,0,0,0,0,0,0,0
20987233,1291,1290,0,0,0.11,0.07,1.8,0,0
20987225,234,2,0,0,0,0,0,0,0
20987140,8,2,0,0,0,0,0,0,0
20987179,7,2,0,0,0,0.01,0.1,1,0
20987175,398,2,0,0,0,0,0,1,0
20987181,1010,1,0,0,0,0,0,1,0
20987201,65,2,0,0,0,0,0,1,0
20987203,67,2,0,0,0,0,0,0,0
20987202,66,2,0,0,0,0,0,1,0
